# backend imode eps coherent_err stored_scalars mbytes matvec_ms   (0.5km, ncore=24)
HTOOL 1 1e-3 3.1492486898e-04 23024634 175.664 0.6832
HTOOL 1 7e-4 1.8447420200e-04 24038046 183.396 0.6436
HTOOL 1 5e-4 1.1719447689e-04 24881758 189.833 0.6535
HTOOL 1 1e-4 2.5567435044e-05 29589119 225.747 0.8020
HTOOL 1 1e-5 7.4808213768e-07 36292381 276.889 1.0495
HACApk 1 1e-2 1.2411565719e-02 11899095 90.7829 1.0990
HACApk 3 1e-2 7.7143007516e-03 13357160 101.907 1.1188
HACApk 1 1e-3 4.4126010369e-04 16609685 126.722 1.3663
HACApk 3 1e-3 2.0626480795e-03 17366030 132.492 1.2376
HACApk 1 1e-4 1.7499374641e-05 20900270 159.456 1.6139
HACApk 3 1e-4 4.2493228781e-04 21835080 166.588 1.5446
HACApk 1 1e-5 1.2447482955e-06 25628260 195.528 1.9505
HACApk 3 1e-5 2.2842240287e-06 26946255 205.584 1.9010
HMMVP 1 1e-3 9.3537876576e-06 14006100 106.858 0.8020
HMMVP 3 1e-3 1.5269039650e-02 5349103 40.8104 0.7129
HMMVP 1 5e-4 3.9047498237e-06 15449951 117.874 0.7822
HMMVP 3 5e-4 1.2261737493e-02 5996788 45.7519 0.7624
HMMVP 1 1e-4 1.2772068671e-06 19281223 147.104 0.8218
HMMVP 3 1e-4 4.2133143871e-03 7411404 56.5445 0.7525
HMMVP 1 1e-5 8.1112982672e-07 25075175 191.308 0.8911
HMMVP 3 1e-5 5.2863175945e-04 10247685 78.1836 0.8119
HMMVP 1 1e-6 3.1357872491e-09 65002818 495.932 6.8614
HMMVP 3 1e-6 5.4468215994e-05 14411963 109.955 0.7921
