# time[s] time[yr] onset(1)/arrest(-1) log10(max|v|[m/s]) mean_slip[m] mean_mu, |v| threshold 1.000e-03 m/s
      3.94168156e+02      0.0000124904  1   -3.0010789  1.50412634e+00   0.567462
      7.06345494e+02      0.0000223827 -1   -3.3070819  1.51522066e+00   0.567252
      7.39306974e+09    234.2722431887  1   -2.9944554  7.62304391e+00   0.586833
      7.39307054e+09    234.2722686288 -1   -3.3018560  8.97974705e+00   0.564297
      1.48215133e+10    469.6654143661  1   -2.9949585  1.50478540e+01   0.586902
      1.48215141e+10    469.6654398487 -1   -3.3018137  1.64081623e+01   0.564308
      2.22489782e+10    705.0275763431  1   -2.9921069  2.24757364e+01   0.586902
      2.22489790e+10    705.0276018141 -1   -3.3020364  2.38360281e+01   0.564307
      2.96764390e+10    940.3896034968  1   -3.0010007  2.99035149e+01   0.586903
      2.96764398e+10    940.3896290278 -1   -3.3017893  3.12638637e+01   0.564307
      3.71038992e+10   1175.7516163437  1   -2.9915496  3.73314285e+01   0.586902
      3.71039000e+10   1175.7516418102 -1   -3.3020364  3.86917173e+01   0.564307
      4.45313596e+10   1411.1136332392  1   -3.0009988  4.47592038e+01   0.586903
      4.45313604e+10   1411.1136587701 -1   -3.3017893  4.61195527e+01   0.564307
      5.19588198e+10   1646.4756460042  1   -2.9915496  5.21871174e+01   0.586902
      5.19588207e+10   1646.4756714707 -1   -3.3020364  5.35474062e+01   0.564307
      5.93862802e+10   1881.8376628977  1   -3.0009988  5.96148928e+01   0.586903
      5.93862810e+10   1881.8376884286 -1   -3.3017893  6.09752416e+01   0.564307
      6.68137405e+10   2117.1996756626  1   -2.9915496  6.70428063e+01   0.586902
      6.68137413e+10   2117.1997011292 -1   -3.3020364  6.84030951e+01   0.564307
      7.42412009e+10   2352.5616925562  1   -3.0009988  7.44705817e+01   0.586903
      7.42412017e+10   2352.5617180871 -1   -3.3017893  7.58309305e+01   0.564307
      8.16686611e+10   2587.9237053211  1   -2.9915496  8.18984952e+01   0.586902
      8.16686619e+10   2587.9237307877 -1   -3.3020364  8.32587840e+01   0.564307
      8.90961215e+10   2823.2857222147  1   -3.0009988  8.93262706e+01   0.586903
      8.90961223e+10   2823.2857477456 -1   -3.3017893  9.06866194e+01   0.564307
