# time[s] time[yr] onset(1)/arrest(-1) log10(max|v|[m/s]) mean_slip[m] mean_mu, |v| threshold 1.000e-03 m/s
      3.94176241e+02      0.0000124907  1   -3.0010735  1.50393994e+00   0.567435
      7.05768173e+02      0.0000223644 -1   -3.3067132  1.51501587e+00   0.567226
      7.39279878e+09    234.2636570338  1   -2.9945093  7.62292492e+00   0.586827
      7.39279959e+09    234.2636824704 -1   -3.3018108  8.97922943e+00   0.564272
      1.48207072e+10    469.6398701411  1   -2.9941166  1.50471497e+01   0.586897
      1.48207080e+10    469.6398956184 -1   -3.3018778  1.64070911e+01   0.564282
      2.22476262e+10    704.9847338379  1   -2.9930094  2.24744445e+01   0.586897
      2.22476270e+10    704.9847588494 -1   -3.2918823  2.38340447e+01   0.564288
      2.96745376e+10    940.3293527119  1   -3.0081524  2.99016993e+01   0.586898
      2.96745384e+10    940.3293782318 -1   -3.3018827  3.12616893e+01   0.564282
      3.71014498e+10   1175.6739990112  1   -2.9930441  3.73290317e+01   0.586897
      3.71014506e+10   1175.6740244774 -1   -3.3018193  3.86889741e+01   0.564282
      4.45283623e+10   1411.0186535762  1   -2.9918369  4.47563278e+01   0.586897
      4.45283631e+10   1411.0186790356 -1   -3.3018827  4.61162664e+01   0.564282
      5.19552742e+10   1646.3632924691  1   -2.9930487  5.21836097e+01   0.586897
      5.19552750e+10   1646.3633179377 -1   -3.3018701  5.35435611e+01   0.564282
      5.93821856e+10   1881.7079103101  1   -2.9928801  5.96109077e+01   0.586897
      5.93821864e+10   1881.7079357711 -1   -3.3017400  6.09708468e+01   0.564282
      6.68090977e+10   2117.0525533298  1   -3.0076616  6.70381492e+01   0.586898
      6.68090985e+10   2117.0525788504 -1   -3.3018828  6.83981398e+01   0.564282
      7.42360098e+10   2352.3971979507  1   -2.9930446  7.44654821e+01   0.586897
      7.42360106e+10   2352.3972234170 -1   -3.3018222  7.58254247e+01   0.564282
      8.16629223e+10   2587.7418523618  1   -2.9919022  8.18927778e+01   0.586897
      8.16629231e+10   2587.7418778217 -1   -3.3018827  8.32527167e+01   0.564282
      8.90898343e+10   2823.0864917749  1   -2.9930485  8.93200600e+01   0.586897
      8.90898351e+10   2823.0865172436 -1   -3.3018703  9.06800114e+01   0.564282
