# time[s] time[yr] onset(1)/arrest(-1) log10(max|v|[m/s]) mean_slip[m] mean_mu, |v| threshold 1.000e-03 m/s
      3.85477361e+02      0.0000122150  1   -2.9933570  1.50473272e+00   0.567378
      6.88902235e+02      0.0000218300 -1   -3.2947990  1.51569415e+00   0.567171
      7.47513677e+09    236.8727903978  1   -3.0098403  7.71782683e+00   0.586542
      7.47513756e+09    236.8728154118 -1   -3.2968479  9.06537380e+00   0.564109
      1.49881612e+10    474.9461674539  1   -3.0069874  1.52315536e+01   0.586537
      1.49881620e+10    474.9461925301 -1   -3.2988467  1.65787236e+01   0.564110
      2.25011264e+10    713.0176684374  1   -3.0058476  2.27448519e+01   0.586537
      2.25011272e+10    713.0176935033 -1   -3.2988212  2.40920143e+01   0.564110
      3.00140916e+10    951.0891695602  1   -3.0058059  3.02581437e+01   0.586537
      3.00140924e+10    951.0891946257 -1   -3.2988210  3.16053058e+01   0.564110
      3.75270568e+10   1189.1606706350  1   -3.0057196  3.77714358e+01   0.586537
      3.75270576e+10   1189.1606956995 -1   -3.2988125  3.91185971e+01   0.564110
      4.50400220e+10   1427.2321714697  1   -3.0058884  4.52847262e+01   0.586537
      4.50400228e+10   1427.2321965359 -1   -3.2988214  4.66318890e+01   0.564110
      5.25529872e+10   1665.3036725607  1   -3.0056760  5.27980193e+01   0.586537
      5.25529880e+10   1665.3036976245 -1   -3.2988068  5.41451801e+01   0.564110
      6.00659524e+10   1903.3751733578  1   -3.0057957  6.03113100e+01   0.586537
      6.00659532e+10   1903.3751984231 -1   -3.2988172  6.16584718e+01   0.564110
      6.75789176e+10   2141.4466748651  1   -3.0059478  6.78246002e+01   0.586537
      6.75789184e+10   2141.4466999318 -1   -3.2988215  6.91717635e+01   0.564110
      7.50918828e+10   2379.5181759431  1   -3.0057517  7.53378932e+01   0.586537
      7.50918836e+10   2379.5182010080 -1   -3.2988164  7.66850547e+01   0.564110
      8.26048480e+10   2617.5896774726  1   -3.0057877  8.28511843e+01   0.586537
      8.26048488e+10   2617.5897025378 -1   -3.2988170  8.41983460e+01   0.564110
      9.01178132e+10   2855.6611789819  1   -3.0059389  9.03644745e+01   0.586537
      9.01178140e+10   2855.6612040485 -1   -3.2988215  9.17116377e+01   0.564110
