# fault state: note that stresses are only those due to slip and do not include background stress
#    pos_1/W    pos_2/W       area        s_c    m_d*s_n           u_s           u_n           u_d           s_s           s_n           s_d pach#  grp#
 8.527e+00  6.366e-01  6.424e-01  4.241e+03 -1.433e+01  9.690632e-01  0.000000e+00  2.198191e-01 -4.279714e+03 -4.777371e+01 -3.161479e+01     0     0
 8.525e+00  4.774e-01  6.421e-01  4.212e+03 -2.637e+01  1.194418e+00  0.000000e+00  2.235038e-01 -4.278614e+03 -8.789771e+01 -6.320791e+01     1     0
 8.521e+00  3.182e-01  6.415e-01  4.193e+03 -3.396e+01  1.289652e+00  0.000000e+00  1.944407e-01 -4.276781e+03 -1.131910e+02 -9.475772e+01     2     0
 8.516e+00  1.589e-01  6.408e-01  4.177e+03 -3.938e+01  1.331933e+00  0.000000e+00  1.616156e-01 -4.274215e+03 -1.312809e+02 -1.262426e+02     3     0
 8.510e+00 -3.089e-04  6.398e-01  4.168e+03 -4.189e+01  1.342639e+00  0.000000e+00  1.307865e-01 -4.270917e+03 -1.396392e+02 -1.576409e+02     4     0
 8.502e+00 -1.595e-01  6.386e-01  4.161e+03 -4.319e+01  1.329455e+00  0.000000e+00  1.027117e-01 -4.266887e+03 -1.439515e+02 -1.889312e+02     5     0
 8.492e+00 -3.187e-01  6.371e-01  4.159e+03 -4.194e+01  1.294619e+00  0.000000e+00  7.692439e-02 -4.262126e+03 -1.398061e+02 -2.200920e+02     6     0
 8.481e+00 -4.777e-01  6.355e-01  4.158e+03 -3.994e+01  1.236630e+00  0.000000e+00  5.272098e-02 -4.256634e+03 -1.331275e+02 -2.511020e+02     7     0
 8.469e+00 -6.367e-01  6.336e-01  4.162e+03 -3.595e+01  1.148867e+00  0.000000e+00  2.954310e-02 -4.250414e+03 -1.198356e+02 -2.819399e+02     8     0
 8.455e+00 -7.955e-01  6.316e-01  4.167e+03 -3.079e+01  1.013134e+00  0.000000e+00  7.740446e-03 -4.243464e+03 -1.026172e+02 -3.125846e+02     9     0
 8.440e+00 -9.542e-01  6.293e-01  4.176e+03 -2.362e+01  7.687244e-01  0.000000e+00 -8.589864e-03 -4.235788e+03 -7.873674e+01 -3.430150e+02    10     0
 8.355e+00  6.483e-01  6.424e-01  4.147e+03 -9.861e+00  1.271332e+00  0.000000e+00  2.096439e-01 -4.174955e+03 -3.287101e+01 -2.944155e+01    11     0
 8.353e+00  4.891e-01  6.421e-01  4.126e+03 -1.838e+01  1.624017e+00  0.000000e+00  2.384341e-01 -4.173882e+03 -6.126287e+01 -5.886291e+01    12     0
 8.349e+00  3.299e-01  6.415e-01  4.110e+03 -2.467e+01  1.780420e+00  0.000000e+00  2.239541e-01 -4.172094e+03 -8.224428e+01 -8.824394e+01    13     0
 8.344e+00  1.706e-01  6.408e-01  4.097e+03 -2.908e+01  1.850368e+00  0.000000e+00  1.961759e-01 -4.169591e+03 -9.694794e+01 -1.175645e+02    14     0
 8.338e+00  1.134e-02  6.398e-01  4.088e+03 -3.157e+01  1.868628e+00  0.000000e+00  1.651844e-01 -4.166373e+03 -1.052305e+02 -1.468045e+02    15     0
 8.330e+00 -1.479e-01  6.386e-01  4.082e+03 -3.230e+01  1.848350e+00  0.000000e+00  1.345485e-01 -4.162442e+03 -1.076778e+02 -1.759438e+02    16     0
 8.321e+00 -3.070e-01  6.371e-01  4.079e+03 -3.172e+01  1.793578e+00  0.000000e+00  1.054426e-01 -4.157797e+03 -1.057169e+02 -2.049626e+02    17     0
 8.310e+00 -4.661e-01  6.355e-01  4.078e+03 -2.980e+01  1.702067e+00  0.000000e+00  7.823236e-02 -4.152440e+03 -9.932102e+01 -2.338409e+02    18     0
 8.298e+00 -6.251e-01  6.336e-01  4.079e+03 -2.676e+01  1.563580e+00  0.000000e+00  5.327226e-02 -4.146372e+03 -8.919113e+01 -2.625590e+02    19     0
 8.284e+00 -7.839e-01  6.316e-01  4.082e+03 -2.251e+01  1.351077e+00  0.000000e+00  3.150256e-02 -4.139593e+03 -7.502215e+01 -2.910971e+02    20     0
 8.269e+00 -9.426e-01  6.293e-01  4.087e+03 -1.734e+01  9.848436e-01  0.000000e+00  1.469360e-02 -4.132104e+03 -5.779096e+01 -3.194357e+02    21     0
 8.179e+00  6.597e-01  6.424e-01  4.042e+03 -7.046e+00  1.425259e+00  0.000000e+00  1.720598e-01 -4.063759e+03 -2.348568e+01 -2.732381e+01    22     0
 8.177e+00  5.005e-01  6.421e-01  4.029e+03 -1.236e+01  1.848046e+00  0.000000e+00  2.069413e-01 -4.062714e+03 -4.119257e+01 -5.462890e+01    23     0
 8.174e+00  3.413e-01  6.415e-01  4.017e+03 -1.664e+01  2.045799e+00  0.000000e+00  2.053583e-01 -4.060974e+03 -5.547785e+01 -8.189654e+01    24     0
 8.169e+00  1.820e-01  6.408e-01  4.008e+03 -1.943e+01  2.137332e+00  0.000000e+00  1.888810e-01 -4.058537e+03 -6.475119e+01 -1.091081e+02    25     0
 8.163e+00  2.275e-02  6.398e-01  4.001e+03 -2.100e+01  2.162844e+00  0.000000e+00  1.662295e-01 -4.055405e+03 -6.999498e+01 -1.362448e+02    26     0
 8.155e+00 -1.365e-01  6.386e-01  3.996e+03 -2.166e+01  2.138595e+00  0.000000e+00  1.415332e-01 -4.051579e+03 -7.219843e+01 -1.632882e+02    27     0
 8.146e+00 -2.957e-01  6.371e-01  3.992e+03 -2.154e+01  2.070003e+00  0.000000e+00  1.168352e-01 -4.047058e+03 -7.179382e+01 -1.902196e+02    28     0
 8.135e+00 -4.548e-01  6.355e-01  3.990e+03 -2.003e+01  1.954846e+00  0.000000e+00  9.319843e-02 -4.041843e+03 -6.676753e+01 -2.170207e+02    29     0
 8.123e+00 -6.137e-01  6.336e-01  3.990e+03 -1.771e+01  1.781587e+00  0.000000e+00  7.124083e-02 -4.035936e+03 -5.902175e+01 -2.436731e+02    30     0
 8.110e+00 -7.726e-01  6.316e-01  3.990e+03 -1.454e+01  1.520730e+00  0.000000e+00  5.119675e-02 -4.029338e+03 -4.846041e+01 -2.701584e+02    31     0
 8.095e+00 -9.313e-01  6.293e-01  3.991e+03 -1.100e+01  1.088911e+00  0.000000e+00  3.189000e-02 -4.022049e+03 -3.668317e+01 -2.964586e+02    32     0
 8.001e+00  6.709e-01  6.424e-01  3.930e+03 -4.642e+00  1.510799e+00  0.000000e+00  1.333820e-01 -3.946296e+03 -1.547253e+01 -2.526485e+01    33     0
 7.999e+00  5.117e-01  6.421e-01  3.923e+03 -7.604e+00  1.971810e+00  0.000000e+00  1.663462e-01 -3.945282e+03 -2.534588e+01 -5.051239e+01    34     0
 7.995e+00  3.525e-01  6.415e-01  3.916e+03 -9.867e+00  2.194772e+00  0.000000e+00  1.720497e-01 -3.943592e+03 -3.289096e+01 -7.572531e+01    35     0
 7.990e+00  1.932e-01  6.408e-01  3.909e+03 -1.152e+01  2.301170e+00  0.000000e+00  1.651156e-01 -3.941226e+03 -3.838616e+01 -1.008863e+02    36     0
 7.984e+00  3.392e-02  6.398e-01  3.904e+03 -1.265e+01  2.332533e+00  0.000000e+00  1.516865e-01 -3.938184e+03 -4.215739e+01 -1.259782e+02    37     0
 7.977e+00 -1.253e-01  6.386e-01  3.899e+03 -1.311e+01  2.306268e+00  0.000000e+00  1.350747e-01 -3.934468e+03 -4.370189e+01 -1.509838e+02    38     0
 7.968e+00 -2.845e-01  6.371e-01  3.895e+03 -1.284e+01  2.228586e+00  0.000000e+00  1.172035e-01 -3.930078e+03 -4.280768e+01 -1.758858e+02    39     0
 7.957e+00 -4.436e-01  6.355e-01  3.893e+03 -1.173e+01  2.097590e+00  0.000000e+00  9.916403e-02 -3.925014e+03 -3.909625e+01 -2.006673e+02    40     0
 7.946e+00 -6.026e-01  6.336e-01  3.891e+03 -1.000e+01  1.901769e+00  0.000000e+00  8.140089e-02 -3.919278e+03 -3.334102e+01 -2.253113e+02    41     0
 7.933e+00 -7.615e-01  6.316e-01  3.890e+03 -7.741e+00  1.611575e+00  0.000000e+00  6.347816e-02 -3.912870e+03 -2.580427e+01 -2.498009e+02    42     0
 7.918e+00 -9.202e-01  6.293e-01  3.888e+03 -5.572e+00  1.143269e+00  0.000000e+00  4.265310e-02 -3.905792e+03 -1.857183e+01 -2.741193e+02    43     0
 7.819e+00  6.818e-01  6.424e-01  3.813e+03 -2.078e+00  1.555072e+00  0.000000e+00  9.899453e-02 -3.822749e+03 -6.927364e+00 -2.326785e+01    44     0
 7.817e+00  5.226e-01  6.421e-01  3.809e+03 -3.422e+00  2.035522e+00  0.000000e+00  1.274241e-01 -3.821766e+03 -1.140746e+01 -4.651975e+01    45     0
 7.813e+00  3.634e-01  6.415e-01  3.805e+03 -4.549e+00  2.272336e+00  0.000000e+00  1.367812e-01 -3.820129e+03 -1.516404e+01 -6.973977e+01    46     0
 7.809e+00  2.041e-01  6.408e-01  3.800e+03 -5.423e+00  2.387662e+00  0.000000e+00  1.366293e-01 -3.817837e+03 -1.807734e+01 -9.291199e+01    47     0
 7.803e+00  4.484e-02  6.398e-01  3.796e+03 -5.944e+00  2.422970e+00  0.000000e+00  1.308888e-01 -3.814891e+03 -1.981209e+01 -1.160205e+02    48     0
 7.795e+00 -1.144e-01  6.386e-01  3.793e+03 -5.894e+00  2.395792e+00  0.000000e+00  1.217778e-01 -3.811291e+03 -1.964567e+01 -1.390496e+02    49     0
 7.787e+00 -2.736e-01  6.371e-01  3.789e+03 -5.479e+00  2.312594e+00  0.000000e+00  1.106784e-01 -3.807038e+03 -1.826263e+01 -1.619833e+02    50     0
 7.777e+00 -4.327e-01  6.355e-01  3.786e+03 -4.716e+00  2.171855e+00  0.000000e+00  9.835144e-02 -3.802133e+03 -1.572164e+01 -1.848060e+02    51     0
 7.765e+00 -5.918e-01  6.336e-01  3.784e+03 -3.428e+00  1.962521e+00  0.000000e+00  8.491663e-02 -3.796577e+03 -1.142506e+01 -2.075021e+02    52     0
 7.753e+00 -7.507e-01  6.316e-01  3.781e+03 -2.019e+00  1.655658e+00  0.000000e+00  6.949111e-02 -3.790369e+03 -6.731221e+00 -2.300559e+02    53     0
 7.738e+00 -9.094e-01  6.293e-01  3.777e+03 -7.220e-01  1.168165e+00  0.000000e+00  4.851462e-02 -3.783513e+03 -2.406648e+00 -2.524521e+02    54     0
 7.634e+00  6.925e-01  6.424e-01  3.689e+03  5.019e-01  1.570927e+00  0.000000e+00  6.978780e-02 -3.693307e+03  1.673166e+00 -2.133587e+01    55     0
 7.632e+00  5.333e-01  6.421e-01  3.688e+03  9.360e-02  2.058816e+00  0.000000e+00  9.315808e-02 -3.692358e+03  3.120145e-01 -4.265712e+01    56     0
 7.629e+00  3.741e-01  6.415e-01  3.685e+03 -1.406e-01  2.301796e+00  0.000000e+00  1.041550e-01 -3.690776e+03 -4.686946e-01 -6.394913e+01    57     0
 7.624e+00  2.148e-01  6.408e-01  3.683e+03 -7.495e-02  2.421602e+00  0.000000e+00  1.085802e-01 -3.688561e+03 -2.498381e-01 -8.519732e+01    58     0
 7.618e+00  5.550e-02  6.398e-01  3.681e+03  6.351e-02  2.459097e+00  0.000000e+00  1.086752e-01 -3.685715e+03  2.116932e-01 -1.063871e+02    59     0
 7.611e+00 -1.038e-01  6.386e-01  3.678e+03  2.252e-01  2.431526e+00  0.000000e+00  1.056950e-01 -3.682237e+03  7.506217e-01 -1.275040e+02    60     0
 7.602e+00 -2.630e-01  6.371e-01  3.674e+03  4.985e-01  2.345384e+00  0.000000e+00  1.004094e-01 -3.678128e+03  1.661758e+00 -1.485335e+02    61     0
 7.593e+00 -4.221e-01  6.355e-01  3.671e+03  1.154e+00  2.199427e+00  0.000000e+00  9.317251e-02 -3.673389e+03  3.846976e+00 -1.694612e+02    62     0
 7.582e+00 -5.812e-01  6.336e-01  3.667e+03  1.902e+00  1.983096e+00  0.000000e+00  8.378786e-02 -3.668021e+03  6.339517e+00 -1.902728e+02    63     0
 7.569e+00 -7.401e-01  6.316e-01  3.663e+03  2.659e+00  1.668236e+00  0.000000e+00  7.104084e-02 -3.662024e+03  8.862121e+00 -2.109539e+02    64     0
 7.556e+00 -8.988e-01  6.293e-01  3.659e+03  3.533e+00  1.173062e+00  0.000000e+00  5.094095e-02 -3.655400e+03  1.177718e+01 -2.314905e+02    65     0
 7.446e+00  7.029e-01  6.424e-01  3.561e+03  3.402e+00  1.565732e+00  0.000000e+00  4.539113e-02 -3.558170e+03  1.133946e+01 -1.947190e+01    66     0
 7.444e+00  5.437e-01  6.421e-01  3.561e+03  3.884e+00  2.052891e+00  0.000000e+00  6.395692e-02 -3.557256e+03  1.294785e+01 -3.893046e+01    67     0
 7.441e+00  3.845e-01  6.415e-01  3.560e+03  4.160e+00  2.296806e+00  0.000000e+00  7.552819e-02 -3.555732e+03  1.386727e+01 -5.836234e+01    68     0
 7.436e+00  2.252e-01  6.408e-01  3.558e+03  4.242e+00  2.417884e+00  0.000000e+00  8.301488e-02 -3.553598e+03  1.414016e+01 -7.775422e+01    69     0
 7.431e+00  6.591e-02  6.398e-01  3.556e+03  4.511e+00  2.456160e+00  0.000000e+00  8.739009e-02 -3.550856e+03  1.503654e+01 -9.709280e+01    70     0
 7.424e+00 -9.336e-02  6.386e-01  3.554e+03  4.932e+00  2.428480e+00  0.000000e+00  8.915313e-02 -3.547506e+03  1.644002e+01 -1.163649e+02    71     0
 7.415e+00 -2.526e-01  6.371e-01  3.551e+03  5.167e+00  2.341232e+00  0.000000e+00  8.856620e-02 -3.543547e+03  1.722278e+01 -1.355571e+02    72     0
 7.406e+00 -4.117e-01  6.355e-01  3.547e+03  5.749e+00  2.193342e+00  0.000000e+00  8.560719e-02 -3.538981e+03  1.916213e+01 -1.546565e+02    73     0
 7.395e+00 -5.708e-01  6.336e-01  3.543e+03  6.116e+00  1.974678e+00  0.000000e+00  7.979546e-02 -3.533809e+03  2.038698e+01 -1.736499e+02    74     0
 7.383e+00 -7.297e-01  6.316e-01  3.538e+03  6.614e+00  1.658019e+00  0.000000e+00  6.970009e-02 -3.528032e+03  2.204702e+01 -1.925243e+02    75     0
 7.370e+00 -8.885e-01  6.293e-01  3.533e+03  7.119e+00  1.163262e+00  0.000000e+00  5.110212e-02 -3.521650e+03  2.372870e+01 -2.112668e+02    76     0
 7.255e+00  7.131e-01  6.424e-01  3.428e+03  6.430e+00  1.544234e+00  0.000000e+00  2.510409e-02 -3.417547e+03  2.143405e+01 -1.767882e+01    77     0
 7.254e+00  5.539e-01  6.421e-01  3.429e+03  7.473e+00  2.024773e+00  0.000000e+00  3.938836e-02 -3.416669e+03  2.491014e+01 -3.534552e+01    78     0
 7.250e+00  3.947e-01  6.415e-01  3.429e+03  7.879e+00  2.265942e+00  0.000000e+00  5.099260e-02 -3.415205e+03  2.626212e+01 -5.298800e+01    79     0
 7.246e+00  2.354e-01  6.408e-01  3.428e+03  8.367e+00  2.386054e+00  0.000000e+00  6.052961e-02 -3.413156e+03  2.788964e+01 -7.059416e+01    80     0
 7.240e+00  7.605e-02  6.398e-01  3.426e+03  8.781e+00  2.424157e+00  0.000000e+00  6.801468e-02 -3.410522e+03  2.926862e+01 -8.815194e+01    81     0
 7.234e+00 -8.323e-02  6.386e-01  3.424e+03  9.178e+00  2.396564e+00  0.000000e+00  7.338074e-02 -3.407304e+03  3.059237e+01 -1.056493e+02    82     0
 7.226e+00 -2.425e-01  6.371e-01  3.420e+03  9.395e+00  2.309509e+00  0.000000e+00  7.648565e-02 -3.403502e+03  3.131629e+01 -1.230743e+02    83     0
 7.216e+00 -4.016e-01  6.355e-01  3.416e+03  9.579e+00  2.162062e+00  0.000000e+00  7.701706e-02 -3.399117e+03  3.192926e+01 -1.404149e+02    84     0
 7.206e+00 -5.607e-01  6.336e-01  3.412e+03  9.961e+00  1.944521e+00  0.000000e+00  7.426974e-02 -3.394149e+03  3.320410e+01 -1.576593e+02    85     0
