# fault state: note that stresses are only those due to slip and do not include background stress
#    pos_1/W    pos_2/W       area        s_c    m_d*s_n           u_s           u_n           u_d           s_s           s_n           s_d pach#  grp#
 1.685e+00  7.459e-01  2.464e+00  4.284e+03  1.800e+01  1.556168e+00  0.000000e+00  3.802667e-01 -4.247240e+03  6.000529e+01 -7.425701e+01     0     0
 1.682e+00  6.732e-01  2.457e+00  4.218e+03 -7.551e+00  1.869140e+00  0.000000e+00  3.816390e-01 -4.240952e+03 -2.516939e+01 -1.482206e+02     1     0
 1.678e+00  6.000e-01  2.445e+00  4.170e+03 -2.368e+01  1.984432e+00  0.000000e+00  3.492296e-01 -4.230478e+03 -7.893965e+01 -2.215996e+02     2     0
 1.673e+00  5.265e-01  2.428e+00  4.133e+03 -3.347e+01  2.019033e+00  0.000000e+00  3.208352e-01 -4.215830e+03 -1.115596e+02 -2.941038e+02     3     0
 1.665e+00  4.528e-01  2.407e+00  4.100e+03 -3.939e+01  2.007364e+00  0.000000e+00  3.006401e-01 -4.197021e+03 -1.313159e+02 -3.654475e+02     4     0
 1.656e+00  3.788e-01  2.380e+00  4.070e+03 -4.245e+01  1.965201e+00  0.000000e+00  2.875971e-01 -4.174070e+03 -1.415155e+02 -4.353490e+02     5     0
 1.645e+00  3.047e-01  2.350e+00  4.042e+03 -4.303e+01  1.901982e+00  0.000000e+00  2.799376e-01 -4.146999e+03 -1.434359e+02 -5.035321e+02     6     0
 1.633e+00  2.306e-01  2.314e+00  4.012e+03 -4.222e+01  1.824198e+00  0.000000e+00  2.759914e-01 -4.115836e+03 -1.407321e+02 -5.697282e+02     7     0
 1.619e+00  1.565e-01  2.275e+00  3.982e+03 -4.018e+01  1.736803e+00  0.000000e+00  2.743977e-01 -4.080612e+03 -1.339469e+02 -6.336756e+02     8     0
 1.603e+00  8.250e-02  2.231e+00  3.949e+03 -3.730e+01  1.643604e+00  0.000000e+00  2.740222e-01 -4.041360e+03 -1.243219e+02 -6.951225e+02     9     0
 1.586e+00  8.656e-03  2.184e+00  3.915e+03 -3.359e+01  1.547630e+00  0.000000e+00  2.740546e-01 -3.998119e+03 -1.119702e+02 -7.538260e+02    10     0
 1.567e+00 -6.494e-02  2.133e+00  3.876e+03 -2.979e+01  1.451327e+00  0.000000e+00  2.738547e-01 -3.950934e+03 -9.931510e+01 -8.095542e+02    11     0
 1.547e+00 -1.382e-01  2.078e+00  3.835e+03 -2.578e+01  1.356346e+00  0.000000e+00  2.729741e-01 -3.899849e+03 -8.594904e+01 -8.620878e+02    12     0
 1.525e+00 -2.111e-01  2.020e+00  3.789e+03 -2.179e+01  1.264066e+00  0.000000e+00  2.711414e-01 -3.844915e+03 -7.264636e+01 -9.112189e+02    13     0
 1.502e+00 -2.836e-01  1.958e+00  3.740e+03 -1.764e+01  1.175278e+00  0.000000e+00  2.681606e-01 -3.786187e+03 -5.881226e+01 -9.567540e+02    14     0
 1.477e+00 -3.555e-01  1.894e+00  3.686e+03 -1.386e+01  1.090524e+00  0.000000e+00  2.639894e-01 -3.723722e+03 -4.618346e+01 -9.985132e+02    15     0
 1.451e+00 -4.268e-01  1.828e+00  3.628e+03 -1.034e+01  1.010122e+00  0.000000e+00  2.586196e-01 -3.657583e+03 -3.446070e+01 -1.036332e+03    16     0
 1.423e+00 -4.975e-01  1.759e+00  3.567e+03 -6.943e+00  9.340942e-01  0.000000e+00  2.520656e-01 -3.587834e+03 -2.314410e+01 -1.070060e+03    17     0
 1.394e+00 -5.674e-01  1.688e+00  3.501e+03 -3.743e+00  8.623594e-01  0.000000e+00  2.444041e-01 -3.514544e+03 -1.247511e+01 -1.099566e+03    18     0
 1.364e+00 -6.365e-01  1.615e+00  3.431e+03 -9.057e-01  7.947289e-01  0.000000e+00  2.356735e-01 -3.437786e+03 -3.019086e+00 -1.124732e+03    19     0
 1.332e+00 -7.047e-01  1.540e+00  3.357e+03  1.866e+00  7.307859e-01  0.000000e+00  2.258454e-01 -3.357635e+03  6.220750e+00 -1.145459e+03    20     0
 1.299e+00 -7.719e-01  1.465e+00  3.280e+03  4.486e+00  6.698816e-01  0.000000e+00  2.147602e-01 -3.274170e+03  1.495272e+01 -1.161666e+03    21     0
 1.265e+00 -8.382e-01  1.388e+00  3.199e+03  7.055e+00  6.106880e-01  0.000000e+00  2.018488e-01 -3.187475e+03  2.351768e+01 -1.173288e+03    22     0
 1.229e+00 -9.034e-01  1.311e+00  3.116e+03  9.908e+00  5.494240e-01  0.000000e+00  1.851729e-01 -3.097634e+03  3.302526e+01 -1.180279e+03    23     0
 1.192e+00 -9.674e-01  1.233e+00  3.032e+03  1.367e+01  4.679121e-01  0.000000e+00  1.559703e-01 -3.004735e+03  4.557226e+01 -1.182613e+03    24     0
 1.630e+00  7.628e-01  2.464e+00  4.135e+03  2.869e+01  2.026357e+00  0.000000e+00  3.925065e-01 -4.073502e+03  9.563443e+01 -6.604339e+01    25     0
 1.627e+00  6.901e-01  2.457e+00  4.081e+03  7.821e+00  2.521555e+00  0.000000e+00  4.401302e-01 -4.067471e+03  2.606939e+01 -1.318258e+02    26     0
 1.623e+00  6.169e-01  2.445e+00  4.037e+03 -6.463e+00  2.706913e+00  0.000000e+00  4.247656e-01 -4.057426e+03 -2.154310e+01 -1.970883e+02    27     0
 1.617e+00  5.433e-01  2.428e+00  4.002e+03 -1.577e+01  2.762320e+00  0.000000e+00  3.998527e-01 -4.043376e+03 -5.255249e+01 -2.615727e+02    28     0
 1.610e+00  4.695e-01  2.407e+00  3.970e+03 -2.139e+01  2.744774e+00  0.000000e+00  3.782388e-01 -4.025337e+03 -7.128836e+01 -3.250251e+02    29     0
 1.601e+00  3.954e-01  2.380e+00  3.942e+03 -2.433e+01  2.680344e+00  0.000000e+00  3.622647e-01 -4.003324e+03 -8.110830e+01 -3.871947e+02    30     0
 1.591e+00  3.213e-01  2.350e+00  3.913e+03 -2.553e+01  2.584285e+00  0.000000e+00  3.513566e-01 -3.977361e+03 -8.511106e+01 -4.478360e+02    31     0
 1.579e+00  2.470e-01  2.314e+00  3.884e+03 -2.499e+01  2.466875e+00  0.000000e+00  3.441820e-01 -3.947473e+03 -8.328374e+01 -5.067101e+02    32     0
