# fault state: note that stresses are only those due to slip and do not include background stress
#    pos_1/W    pos_2/W       area        s_c    m_d*s_n           u_s           u_n           u_d           s_s           s_n           s_d pach#  grp#
 8.527e+00  6.366e-01  6.424e-01  1.688e+03 -2.073e+00  3.508236e-01  0.000000e+00  7.328885e-02 -1.697492e+03 -6.911426e+00 -1.253958e+01     0     0
 8.525e+00  4.774e-01  6.421e-01  1.677e+03 -6.288e+00  4.311830e-01  0.000000e+00  7.384783e-02 -1.696484e+03 -2.095926e+01 -2.506213e+01     1     0
 8.521e+00  3.182e-01  6.415e-01  1.669e+03 -8.925e+00  4.644246e-01  0.000000e+00  6.398983e-02 -1.694806e+03 -2.974865e+01 -3.755065e+01     2     0
 8.516e+00  1.589e-01  6.408e-01  1.662e+03 -1.080e+01  4.788430e-01  0.000000e+00  5.335025e-02 -1.692458e+03 -3.601294e+01 -4.998819e+01     3     0
 8.510e+00 -3.089e-04  6.398e-01  1.657e+03 -1.168e+01  4.822874e-01  0.000000e+00  4.367099e-02 -1.689445e+03 -3.892014e+01 -6.235794e+01     4     0
 8.502e+00 -1.595e-01  6.386e-01  1.652e+03 -1.215e+01  4.775763e-01  0.000000e+00  3.504601e-02 -1.685767e+03 -4.048609e+01 -7.464320e+01     5     0
 8.492e+00 -3.187e-01  6.371e-01  1.649e+03 -1.175e+01  4.655280e-01  0.000000e+00  2.719012e-02 -1.681431e+03 -3.917647e+01 -8.682745e+01     6     0
 8.481e+00 -4.777e-01  6.355e-01  1.645e+03 -1.112e+01  4.455906e-01  0.000000e+00  1.975361e-02 -1.676439e+03 -3.706039e+01 -9.889437e+01     7     0
 8.469e+00 -6.367e-01  6.336e-01  1.643e+03 -9.809e+00  4.153314e-01  0.000000e+00  1.243085e-02 -1.670797e+03 -3.269757e+01 -1.108279e+02     8     0
 8.455e+00 -7.955e-01  6.316e-01  1.641e+03 -8.102e+00  3.680383e-01  0.000000e+00  5.192495e-03 -1.664511e+03 -2.700556e+01 -1.226122e+02     9     0
 8.440e+00 -9.542e-01  6.293e-01  1.639e+03 -5.700e+00  2.811830e-01  0.000000e+00 -8.081348e-04 -1.657587e+03 -1.899979e+01 -1.342317e+02    10     0
 8.355e+00  6.483e-01  6.424e-01  1.575e+03 -3.576e-01  4.442645e-01  0.000000e+00  6.478611e-02 -1.581289e+03 -1.192130e+00 -1.115116e+01    11     0
 8.353e+00  4.891e-01  6.421e-01  1.568e+03 -3.115e+00  5.667691e-01  0.000000e+00  7.410271e-02 -1.580362e+03 -1.038323e+01 -2.228733e+01    12     0
 8.349e+00  3.299e-01  6.415e-01  1.562e+03 -5.159e+00  6.203015e-01  0.000000e+00  7.000948e-02 -1.578818e+03 -1.719649e+01 -3.339356e+01    13     0
 8.344e+00  1.706e-01  6.408e-01  1.556e+03 -6.607e+00  6.438135e-01  0.000000e+00  6.188756e-02 -1.576658e+03 -2.202185e+01 -4.445497e+01    14     0
 8.338e+00  1.134e-02  6.398e-01  1.552e+03 -7.426e+00  6.497080e-01  0.000000e+00  5.288609e-02 -1.573886e+03 -2.475286e+01 -5.545673e+01    15     0
 8.330e+00 -1.479e-01  6.386e-01  1.548e+03 -7.688e+00  6.426787e-01  0.000000e+00  4.405930e-02 -1.570502e+03 -2.562623e+01 -6.638416e+01    16     0
 8.321e+00 -3.070e-01  6.371e-01  1.544e+03 -7.518e+00  6.241632e-01  0.000000e+00  3.568832e-02 -1.566512e+03 -2.506091e+01 -7.722272e+01    17     0
 8.310e+00 -4.661e-01  6.355e-01  1.541e+03 -6.940e+00  5.933462e-01  0.000000e+00  2.779430e-02 -1.561919e+03 -2.313337e+01 -8.795804e+01    18     0
 8.298e+00 -6.251e-01  6.336e-01  1.538e+03 -6.003e+00  5.465493e-01  0.000000e+00  2.038970e-02 -1.556727e+03 -2.000965e+01 -9.857595e+01    19     0
 8.284e+00 -7.839e-01  6.316e-01  1.535e+03 -4.693e+00  4.740514e-01  0.000000e+00  1.364272e-02 -1.550941e+03 -1.564207e+01 -1.090625e+02    20     0
 8.269e+00 -9.426e-01  6.293e-01  1.532e+03 -3.095e+00  3.472120e-01  0.000000e+00  7.797543e-03 -1.544568e+03 -1.031615e+01 -1.194041e+02    21     0
 8.179e+00  6.597e-01  6.424e-01  1.465e+03  7.081e-01  4.800612e-01  0.000000e+00  4.784212e-02 -1.468053e+03  2.360356e+00 -9.870864e+00    22     0
 8.177e+00  5.005e-01  6.421e-01  1.460e+03 -7.726e-01  6.222887e-01  0.000000e+00  5.879554e-02 -1.467203e+03 -2.575203e+00 -1.972860e+01    23     0
 8.174e+00  3.413e-01  6.415e-01  1.456e+03 -2.006e+00  6.882371e-01  0.000000e+00  5.951040e-02 -1.465786e+03 -6.687330e+00 -2.956011e+01    24     0
 8.169e+00  1.820e-01  6.408e-01  1.452e+03 -2.821e+00  7.183923e-01  0.000000e+00  5.586120e-02 -1.463805e+03 -9.402432e+00 -3.935234e+01    25     0
 8.163e+00  2.275e-02  6.398e-01  1.449e+03 -3.290e+00  7.265924e-01  0.000000e+00  5.033723e-02 -1.461261e+03 -1.096679e+01 -4.909232e+01    26     0
 8.155e+00 -1.365e-01  6.386e-01  1.445e+03 -3.498e+00  7.184605e-01  0.000000e+00  4.413222e-02 -1.458157e+03 -1.165869e+01 -5.876717e+01    27     0
 8.146e+00 -2.957e-01  6.371e-01  1.441e+03 -3.490e+00  6.958656e-01  0.000000e+00  3.781749e-02 -1.454496e+03 -1.163225e+01 -6.836415e+01    28     0
 8.135e+00 -4.548e-01  6.355e-01  1.438e+03 -3.071e+00  6.580223e-01  0.000000e+00  3.165746e-02 -1.450281e+03 -1.023572e+01 -7.787065e+01    29     0
 8.123e+00 -6.137e-01  6.336e-01  1.435e+03 -2.428e+00  6.009129e-01  0.000000e+00  2.575557e-02 -1.445516e+03 -8.092449e+00 -8.727425e+01    30     0
